,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
53,Coventry, Grove Farm,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
54,Coventry, Whittleford,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
55,Coventry, Chapel End,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
56,Coventry, Bermuda Village,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
57,Coventry, Caldecote,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
58,Coventry, Fenny Drayton,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
59,Coventry, Hartshill,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
60,Coventry, Ansley,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
61,Coventry, Astley,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
62,Coventry, Oldbury,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
63,Coventry, Ridge Lane,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
64,Coventry,town centre,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
65,Coventry, Abbey Green,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
66,Coventry, St Nicolas Park,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
67,Coventry, Horeston Grange,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
68,Coventry, Attleborough,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
69,Coventry, Whitestone,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
70,Coventry, Hill Top,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
71,Coventry, Chilvers Coton,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
72,Coventry, Caldwell,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
73,Coventry, Burton Hastings,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
